E2M,E2N,E2R,M2E,M2N,M2R,N2E,N2M,N2R,R2E,R2M,R2N
1.234,1.67,0.934,1.107,1.935,0.458,1.668,1.935,1.833,0.519,0.66,1.836
1.321,1.679,0.759,1.286,1.935,0.549,1.671,1.933,1.836,0.551,0.451,1.826
1.039,0.881,0.982,0.921,0.838,1.001,0.919,0.991,1.054,0.928,0.991,0.862
1.139,1.67,0.551,1.175,1.935,0.507,1.668,1.935,1.833,0.703,0.688,1.836
1.015,0.478,0.737,0.926,0.73,1.001,0.921,0.991,1.054,0.798,0.991,0.474
