source,target,model,swd,accuracy,precision,recall,f1
E,M,dann,1000.0,0.763,0.829,0.777,0.802
E,N,dann,0.001,0.867,0.911,0.857,0.883
E,R,dann,100.0,0.79,0.762,0.866,0.811
M,E,dann,0.01,0.812,0.782,0.906,0.839
M,N,dann,1.0,0.817,0.826,0.871,0.848
M,R,dann,1000.0,0.752,0.717,0.861,0.783
N,E,dann,0.01,0.904,0.882,0.95,0.914
N,M,dann,0.1,0.853,0.887,0.874,0.88
N,R,dann,1.0,0.821,0.785,0.903,0.84
R,E,dann,10.0,0.88,0.871,0.913,0.892
R,M,dann,0.001,0.757,0.849,0.738,0.79
